student_id,date,weekday,is_weekend,screen_time_hrs,night_usage_hrs,sleep_hours,calls_count,night_calls,app_social_hrs,app_entertainment_hrs,app_education_hrs,location_jumps,location_entropy,late_sleep_flag,low_sleep_flag,study_ratio,risk_probability,risk_label
1,2025-07-13,6,1,6.95,0.85,6.29,5,1,2.94,1.9,2.11,10,0.709,0,0,0.304,0.941,High
1,2025-07-14,0,0,6.34,0.66,5.86,4,0,2.64,1.38,2.33,0,0.363,0,1,0.367,0.908,High
1,2025-07-15,1,0,6.47,0.45,6.67,7,0,2.06,1.6,2.82,6,0.861,0,0,0.435,0.879,High
1,2025-07-16,2,0,5.31,0.3,6.37,9,2,1.87,1.5,1.94,3,0.709,0,0,0.366,0.783,High
1,2025-07-17,3,0,5.86,0.59,6.63,7,0,1.59,2.08,2.19,0,0.056,0,0,0.373,0.89,High
1,2025-07-18,4,0,6.29,0.43,7.29,3,1,2.4,1.8,2.08,5,0.63,0,0,0.331,0.688,Medium
1,2025-07-19,5,1,6.54,0.88,6.84,7,0,2.63,2.51,1.4,7,0.638,0,0,0.214,0.876,High
1,2025-07-20,6,1,5.55,1.79,5.61,7,1,1.54,1.81,2.2,3,0.31,1,1,0.396,0.985,High
1,2025-07-21,0,0,5.65,0.07,7.23,6,1,2.23,1.53,1.9,2,0.532,0,0,0.336,0.58,Medium
1,2025-07-22,1,0,6.48,0.77,6.35,10,0,1.96,1.86,2.66,5,0.642,0,0,0.411,0.91,High
1,2025-07-23,2,0,7.45,0.96,6.49,4,1,1.33,2.15,3.97,3,0.478,0,0,0.533,0.942,High
1,2025-07-24,3,0,5.78,0.71,7.0,3,0,2.21,1.36,2.21,5,0.37,0,0,0.382,0.844,High
1,2025-07-25,4,0,6.39,0.49,6.88,6,1,2.9,0.95,2.54,3,0.56,0,0,0.398,0.709,High
1,2025-07-26,5,1,6.3,1.06,5.6,6,1,2.64,1.69,1.96,6,0.469,0,1,0.312,0.973,High
1,2025-07-27,6,1,6.16,0.85,6.84,7,0,2.53,1.87,1.76,1,0.35,0,0,0.286,0.873,High
1,2025-07-28,0,0,7.08,0.73,6.27,3,0,2.31,1.62,3.15,4,0.537,0,0,0.445,0.871,High
1,2025-07-29,1,0,5.18,0.19,6.73,9,2,2.82,1.7,0.67,4,0.335,0,0,0.129,0.747,High
1,2025-07-30,2,0,6.42,0.59,6.46,6,2,1.94,1.75,2.72,0,0.506,0,0,0.424,0.757,High
2,2025-06-01,6,1,4.71,1.25,6.84,8,0,1.81,1.3,1.6,6,0.292,0,0,0.339,0.767,High
2,2025-06-02,0,0,5.87,0.53,6.71,4,0,1.45,0.66,3.77,3,0.417,0,0,0.642,0.699,Medium
2,2025-06-03,1,0,4.97,0.87,6.73,9,1,2.71,0.87,1.39,5,0.755,0,0,0.279,0.689,Medium
2,2025-06-04,2,0,4.3,0.01,7.1,3,0,1.67,0.46,2.16,2,0.656,0,0,0.503,0.439,Low
2,2025-06-05,3,0,3.06,0.84,6.75,7,0,1.03,1.02,1.01,0,0.695,0,0,0.33,0.568,Medium
2,2025-06-06,4,0,4.86,0.31,7.28,0,0,1.84,1.88,1.14,1,0.496,0,0,0.235,0.423,Low
2,2025-06-07,5,1,5.11,0.73,5.69,8,2,1.86,1.39,1.86,5,0.82,0,1,0.364,0.922,High
2,2025-06-08,6,1,5.65,1.97,5.43,6,1,2.57,1.63,1.44,1,0.168,1,1,0.255,0.954,High
2,2025-06-09,0,0,4.55,0.82,6.51,10,1,0.74,1.3,2.52,2,0.586,0,0,0.553,0.849,High
2,2025-06-10,1,0,3.47,0.18,7.28,6,1,1.55,1.38,0.54,7,0.2,0,0,0.157,0.342,Low
2,2025-06-11,2,0,6.0,0.23,6.95,5,0,2.75,0.87,2.38,4,0.166,0,0,0.397,0.488,Medium
2,2025-06-12,3,0,3.85,0.69,6.64,9,0,1.96,0.99,0.9,0,0.365,0,0,0.234,0.615,Medium
2,2025-06-13,4,0,3.49,0.92,6.43,1,0,1.83,1.29,0.36,7,0.727,0,0,0.104,0.753,High
2,2025-06-14,5,1,3.67,0.78,7.77,4,2,0.87,0.0,2.8,5,0.293,0,0,0.764,0.586,Medium
2,2025-06-15,6,1,4.54,0.43,7.21,13,1,1.57,0.37,2.6,4,0.58,0,0,0.573,0.683,Medium
2,2025-06-16,0,0,4.74,0.76,6.98,1,1,1.14,1.97,1.64,4,0.254,0,0,0.345,0.656,Medium
2,2025-06-17,1,0,3.36,0.76,7.24,8,0,0.37,1.14,1.86,2,0.194,0,0,0.552,0.526,Medium
2,2025-06-18,2,0,2.24,1.39,6.94,9,0,0.0,1.29,0.94,8,0.103,0,0,0.422,0.673,Medium
2,2025-06-19,3,0,4.32,1.14,7.14,2,0,0.65,0.68,2.99,3,0.515,0,0,0.692,0.578,Medium
2,2025-06-20,4,0,5.05,0.99,7.29,5,0,2.07,1.29,1.69,8,0.095,0,0,0.334,0.703,High
2,2025-06-21,5,1,5.74,1.03,7.01,7,0,2.91,1.67,1.16,5,0.204,0,0,0.202,0.881,High
2,2025-06-22,6,1,5.58,1.38,6.96,4,0,2.77,2.67,0.15,6,0.737,0,0,0.026,0.877,High
2,2025-06-23,0,0,5.0,1.13,6.2,6,0,1.13,1.36,2.51,5,0.152,0,0,0.502,0.735,High
2,2025-06-24,1,0,3.83,0.73,7.37,5,0,0.55,1.72,1.56,2,0.315,0,0,0.408,0.548,Medium
2,2025-06-25,2,0,6.08,1.08,6.98,8,0,2.06,1.79,2.23,7,0.567,0,0,0.367,0.787,High
2,2025-06-26,3,0,4.28,0.65,6.62,0,0,1.14,1.03,2.12,4,0.568,0,0,0.494,0.514,Medium
2,2025-06-27,4,0,5.06,1.09,7.3,9,0,2.87,1.34,0.85,4,0.736,0,0,0.168,0.744,High
2,2025-06-28,5,1,5.7,1.44,7.29,5,0,2.49,1.79,1.42,9,0.767,0,0,0.249,0.865,High
2,2025-06-29,6,1,5.18,1.2,6.36,10,0,2.25,1.31,1.63,7,0.254,0,0,0.314,0.916,High
2,2025-06-30,0,0,4.99,1.25,6.54,5,0,1.77,1.26,1.96,4,0.649,0,0,0.392,0.783,High
2,2025-07-01,1,0,4.56,0.79,7.3,6,0,1.51,0.93,2.11,4,0.413,0,0,0.463,0.635,Medium
2,2025-07-02,2,0,4.48,0.54,7.27,3,1,1.4,0.41,2.68,1,0.313,0,0,0.597,0.438,Low
2,2025-07-03,3,0,2.94,0.64,6.56,8,0,1.26,0.27,1.41,3,0.144,0,0,0.481,0.694,Medium
2,2025-07-04,4,0,4.59,0.61,7.92,6,1,1.21,0.8,2.58,6,0.838,0,0,0.562,0.63,Medium
2,2025-07-05,5,1,5.01,1.54,6.96,6,1,1.78,1.32,1.91,3,0.304,1,0,0.381,0.883,High
2,2025-07-06,6,1,4.32,1.0,7.22,8,0,1.43,0.84,2.05,6,0.453,0,0,0.474,0.765,High
2,2025-07-07,0,0,3.99,1.4,7.07,0,0,0.73,1.0,2.27,8,0.137,0,0,0.568,0.603,Medium
2,2025-07-08,1,0,4.27,0.54,7.22,9,0,1.48,1.92,0.87,6,0.194,0,0,0.203,0.428,Low
2,2025-07-09,2,0,3.86,0.67,6.23,9,0,0.72,0.47,2.67,4,0.734,0,0,0.691,0.816,High
2,2025-07-10,3,0,4.26,0.57,7.5,6,0,1.25,0.63,2.38,2,0.053,0,0,0.559,0.499,Medium
2,2025-07-11,4,0,4.74,1.08,5.98,5,0,1.76,1.9,1.08,2,0.196,0,1,0.228,0.838,High
2,2025-07-12,5,1,4.82,1.64,6.31,7,1,1.31,1.63,1.89,5,0.38,1,0,0.391,0.912,High
2,2025-07-13,6,1,4.48,1.47,6.96,9,0,0.72,1.85,1.91,4,0.691,0,0,0.427,0.863,High
2,2025-07-14,0,0,5.0,0.89,6.7,2,0,1.92,1.01,2.07,4,0.507,0,0,0.414,0.74,High
2,2025-07-15,1,0,5.19,0.97,6.68,8,1,1.77,1.02,2.4,3,0.412,0,0,0.463,0.734,High
2,2025-07-16,2,0,3.23,0.82,6.97,6,1,1.59,1.48,0.16,2,0.313,0,0,0.05,0.473,Medium
2,2025-07-17,3,0,4.78,0.95,6.27,8,1,1.21,0.87,2.7,3,0.189,0,0,0.566,0.757,High
2,2025-07-18,4,0,2.57,1.14,6.4,8,0,0.86,0.78,0.92,3,0.488,0,0,0.358,0.583,Medium
2,2025-07-19,5,1,4.28,2.07,6.48,10,1,1.7,1.51,1.07,3,0.419,1,0,0.25,0.922,High
2,2025-07-20,6,1,3.87,1.55,6.75,6,0,1.21,0.91,1.74,5,0.716,1,0,0.45,0.83,High
2,2025-07-21,0,0,4.19,0.74,6.96,6,1,1.25,1.89,1.05,1,0.104,0,0,0.25,0.69,Medium
2,2025-07-22,1,0,2.45,0.72,8.02,1,0,0.0,0.0,2.45,5,0.484,0,0,1.0,0.199,Low
2,2025-07-23,2,0,2.54,0.75,6.76,4,1,1.05,0.42,1.07,4,0.436,0,0,0.422,0.632,Medium
2,2025-07-24,3,0,4.09,0.33,7.72,7,0,0.8,1.45,1.85,7,0.378,0,0,0.451,0.547,Medium
2,2025-07-25,4,0,3.49,0.57,6.74,0,2,1.35,0.61,1.53,4,0.099,0,0,0.439,0.581,Medium
2,2025-07-26,5,1,6.22,1.27,6.91,5,1,2.27,2.09,1.87,5,0.102,0,0,0.3,0.861,High
2,2025-07-27,6,1,4.81,0.9,6.48,11,1,1.75,1.17,1.89,7,0.148,0,0,0.393,0.763,High
2,2025-07-28,0,0,1.96,0.28,6.43,6,0,0.52,0.0,1.44,3,0.399,0,0,0.733,0.377,Low
2,2025-07-29,1,0,3.62,0.65,6.68,6,0,1.63,1.54,0.45,3,0.198,0,0,0.124,0.529,Medium
2,2025-07-30,2,0,5.22,0.56,7.07,4,0,1.19,1.48,2.54,5,0.114,0,0,0.488,0.602,Medium
3,2025-06-01,6,1,5.04,1.15,5.54,1,0,2.07,2.03,0.94,4,0.341,0,1,0.186,0.727,High
3,2025-06-02,0,0,5.3,0.68,6.39,1,1,1.92,2.29,1.09,3,0.209,0,0,0.206,0.64,Medium
3,2025-06-03,1,0,3.92,0.0,6.67,2,1,1.7,1.57,0.64,4,0.07,0,0,0.164,0.411,Low
3,2025-06-04,2,0,3.99,1.06,5.97,2,0,2.04,1.49,0.46,9,0.212,0,1,0.114,0.669,Medium
3,2025-06-05,3,0,5.35,0.99,6.92,4,0,1.85,1.61,1.88,2,0.42,0,0,0.352,0.629,Medium
3,2025-06-06,4,0,5.12,0.91,6.31,4,1,1.55,1.08,2.49,0,0.815,0,0,0.486,0.778,High
3,2025-06-07,5,1,5.31,1.5,6.8,4,1,1.72,0.89,2.7,5,0.434,1,0,0.509,0.789,High
3,2025-06-08,6,1,5.3,1.35,7.4,6,0,1.96,2.23,1.1,5,0.136,0,0,0.208,0.67,Medium
3,2025-06-09,0,0,5.56,0.76,6.17,6,0,1.37,1.19,3.0,2,0.437,0,0,0.54,0.693,Medium
3,2025-06-10,1,0,6.06,0.64,7.62,5,0,1.68,1.95,2.42,3,0.135,0,0,0.4,0.599,Medium
3,2025-06-11,2,0,4.98,0.09,7.36,0,0,1.99,1.0,2.0,3,0.632,0,0,0.4,0.386,Low
3,2025-06-12,3,0,5.23,0.94,6.19,12,0,2.22,1.57,1.45,6,0.716,0,0,0.277,0.613,Medium
3,2025-06-13,4,0,3.64,0.55,7.69,7,1,1.39,0.52,1.72,2,0.297,0,0,0.474,0.24,Low
3,2025-06-14,5,1,5.07,0.98,6.45,7,0,1.62,0.72,2.73,6,0.546,0,0,0.538,0.648,Medium
3,2025-06-15,6,1,5.82,0.77,7.41,7,1,2.17,1.57,2.08,4,0.39,0,0,0.357,0.588,Medium
3,2025-06-16,0,0,4.52,0.7,7.3,4,0,2.01,0.0,2.5,2,0.205,0,0,0.554,0.389,Low
3,2025-06-17,1,0,5.8,1.05,6.83,5,0,2.11,1.9,1.8,3,0.523,0,0,0.31,0.613,Medium
3,2025-06-18,2,0,5.26,0.58,6.93,6,0,1.58,1.12,2.56,0,0.182,0,0,0.487,0.519,Medium
3,2025-06-19,3,0,5.8,0.93,6.25,9,0,1.99,2.14,1.67,3,0.62,0,0,0.288,0.658,Medium
3,2025-06-20,4,0,5.94,0.5,7.49,10,0,2.8,1.92,1.22,0,0.478,0,0,0.205,0.615,Medium
3,2025-06-21,5,1,6.25,1.31,6.14,12,1,2.89,1.91,1.45,3,0.274,0,0,0.232,0.909,High
3,2025-06-22,6,1,6.59,1.27,6.5,8,0,2.45,2.35,1.79,5,0.838,0,0,0.272,0.819,High
3,2025-06-23,0,0,3.72,0.28,6.56,7,1,1.05,1.03,1.64,5,0.267,0,0,0.442,0.299,Low
3,2025-06-24,1,0,6.48,0.66,7.31,5,1,2.42,2.78,1.29,0,0.618,0,0,0.198,0.743,High
3,2025-06-25,2,0,2.63,0.19,6.51,8,1,1.35,0.95,0.32,5,0.391,0,0,0.122,0.347,Low
3,2025-06-26,3,0,5.7,0.6,6.95,5,1,2.34,1.5,1.86,5,0.425,0,0,0.327,0.506,Medium
3,2025-06-27,4,0,6.01,1.15,6.59,9,0,1.63,1.35,3.03,0,0.611,0,0,0.504,0.688,Medium
3,2025-06-28,5,1,4.04,0.94,5.89,10,1,2.26,0.05,1.73,5,0.717,0,1,0.428,0.687,Medium
3,2025-06-29,6,1,6.91,1.28,6.41,5,1,2.42,1.51,2.99,4,0.545,0,0,0.432,0.835,High
3,2025-06-30,0,0,3.16,0.97,5.93,8,0,1.06,0.89,1.21,3,0.124,0,1,0.382,0.693,Medium
3,2025-07-01,1,0,4.74,0.42,7.46,3,0,1.22,2.27,1.25,4,0.244,0,0,0.263,0.31,Low
3,2025-07-02,2,0,6.28,1.28,6.81,5,0,2.71,2.43,1.14,2,0.509,0,0,0.181,0.682,Medium
3,2025-07-03,3,0,3.55,0.31,6.74,3,0,1.66,0.0,1.88,2,0.347,0,0,0.531,0.255,Low
3,2025-07-04,4,0,6.25,0.38,6.95,9,0,3.95,1.25,1.04,4,0.326,0,0,0.167,0.508,Medium
3,2025-07-05,5,1,4.74,0.96,6.79,8,0,2.68,1.71,0.35,7,0.542,0,0,0.074,0.493,Medium
3,2025-07-06,6,1,6.53,0.86,7.41,10,1,1.64,1.41,3.47,11,0.681,0,0,0.532,0.711,High
3,2025-07-07,0,0,3.98,0.0,6.47,6,1,0.83,1.16,1.99,1,0.164,0,0,0.501,0.52,Medium
3,2025-07-08,1,0,4.21,0.45,6.32,4,0,1.95,1.91,0.34,5,0.05,0,0,0.081,0.599,Medium
3,2025-07-09,2,0,3.42,0.24,6.24,3,0,0.57,1.83,1.02,2,0.503,0,0,0.299,0.549,Medium
3,2025-07-10,3,0,4.83,0.77,6.69,6,0,1.96,1.16,1.71,3,0.272,0,0,0.354,0.528,Medium
3,2025-07-11,4,0,4.28,0.64,6.56,6,0,2.68,1.43,0.16,4,0.121,0,0,0.038,0.503,Medium
3,2025-07-12,5,1,4.72,0.66,6.62,2,0,2.7,1.4,0.62,5,0.389,0,0,0.131,0.586,Medium
3,2025-07-13,6,1,4.87,1.0,6.78,5,1,1.29,1.09,2.5,6,0.326,0,0,0.513,0.731,High
3,2025-07-14,0,0,5.83,0.9,7.86,7,0,2.2,2.87,0.75,0,0.21,0,0,0.13,0.589,Medium
3,2025-07-15,1,0,4.98,0.71,6.32,2,0,1.9,0.81,2.26,2,0.638,0,0,0.455,0.592,Medium
3,2025-07-16,2,0,5.4,0.46,6.0,9,0,1.74,1.52,2.14,4,0.383,0,0,0.397,0.729,High
3,2025-07-17,3,0,4.12,0.6,6.87,2,0,0.87,1.72,1.54,4,0.514,0,0,0.372,0.452,Medium
3,2025-07-18,4,0,4.39,0.94,7.66,7,1,2.34,0.54,1.51,5,0.488,0,0,0.344,0.525,Medium
3,2025-07-19,5,1,4.63,1.55,7.29,6,0,1.63,0.92,2.07,8,0.124,1,0,0.448,0.665,Medium
3,2025-07-20,6,1,3.62,1.12,7.17,5,0,2.11,0.36,1.16,8,0.808,0,0,0.32,0.484,Medium
3,2025-07-21,0,0,4.42,0.16,7.51,5,0,2.09,1.41,0.92,0,0.848,0,0,0.207,0.304,Low
3,2025-07-22,1,0,4.47,1.04,6.48,6,0,1.8,1.69,0.98,3,0.385,0,0,0.219,0.609,Medium
3,2025-07-23,2,0,4.64,0.82,6.94,9,2,1.59,1.3,1.75,5,0.52,0,0,0.378,0.482,Medium
3,2025-07-24,3,0,4.71,0.0,6.3,5,1,1.4,1.42,1.9,3,0.448,0,0,0.403,0.438,Low
3,2025-07-25,4,0,4.08,0.21,6.04,4,0,1.04,1.8,1.24,3,0.152,0,0,0.303,0.386,Low
3,2025-07-26,5,1,7.03,1.06,7.3,7,0,2.22,1.99,2.83,5,0.626,0,0,0.402,0.804,High
3,2025-07-27,6,1,4.64,0.94,6.52,9,4,1.72,1.44,1.47,11,0.713,0,0,0.318,0.53,Medium
3,2025-07-28,0,0,5.29,0.7,7.11,5,1,2.74,0.85,1.7,4,0.376,0,0,0.322,0.663,Medium
3,2025-07-29,1,0,3.48,1.0,7.96,4,0,0.57,0.84,2.07,4,0.783,0,0,0.594,0.239,Low
3,2025-07-30,2,0,6.44,1.32,6.11,5,0,1.61,1.93,2.91,7,0.53,0,0,0.451,0.837,High
4,2025-06-01,6,1,4.18,0.97,6.69,6,1,1.15,0.91,2.12,8,0.884,0,0,0.507,0.64,Medium
4,2025-06-02,0,0,5.25,1.13,6.95,7,0,1.96,1.37,1.92,6,0.436,0,0,0.366,0.774,High
4,2025-06-03,1,0,6.17,0.8,7.03,10,2,2.08,1.52,2.56,7,0.289,0,0,0.415,0.868,High
4,2025-06-04,2,0,4.15,1.1,6.65,11,1,2.3,1.08,0.77,5,0.182,0,0,0.187,0.706,High
4,2025-06-05,3,0,4.32,1.46,6.6,8,0,0.82,1.18,2.32,5,0.508,0,0,0.537,0.675,Medium
4,2025-06-06,4,0,3.79,0.62,6.68,7,0,1.55,0.0,2.23,8,0.623,0,0,0.59,0.599,Medium
4,2025-06-07,5,1,4.17,0.91,7.85,8,0,2.19,0.86,1.13,5,0.188,0,0,0.27,0.548,Medium
4,2025-06-08,6,1,5.51,1.55,7.17,8,3,1.24,1.42,2.85,13,0.454,1,0,0.518,0.843,High
4,2025-06-09,0,0,4.35,0.19,7.06,9,1,1.22,1.51,1.62,7,0.413,0,0,0.372,0.472,Medium
4,2025-06-10,1,0,3.56,0.84,6.58,9,1,1.9,1.5,0.16,6,0.563,0,0,0.044,0.659,Medium
4,2025-06-11,2,0,5.33,0.61,7.43,8,1,2.73,1.37,1.24,3,0.129,0,0,0.232,0.563,Medium
4,2025-06-12,3,0,4.9,0.94,7.26,7,1,1.56,1.07,2.27,5,0.367,0,0,0.463,0.67,Medium
4,2025-06-13,4,0,5.54,0.83,6.18,4,0,1.96,0.74,2.83,8,0.246,0,0,0.512,0.794,High
4,2025-06-14,5,1,5.82,0.93,7.29,6,2,2.37,0.89,2.56,9,0.33,0,0,0.44,0.68,Medium
4,2025-06-15,6,1,6.37,0.99,5.26,8,1,1.35,1.48,3.55,6,0.227,0,1,0.556,0.957,High
4,2025-06-16,0,0,5.09,0.77,6.36,6,0,1.43,1.63,2.03,2,0.519,0,0,0.399,0.799,High
4,2025-06-17,1,0,3.95,1.23,6.56,4,0,1.62,0.65,1.67,8,0.332,0,0,0.425,0.621,Medium
4,2025-06-18,2,0,4.86,0.71,6.68,4,0,0.54,0.98,3.35,8,0.635,0,0,0.688,0.638,Medium
4,2025-06-19,3,0,4.94,1.13,6.57,2,1,2.37,1.43,1.14,9,0.04,0,0,0.231,0.679,Medium
4,2025-06-20,4,0,4.1,0.68,6.57,9,0,1.67,1.36,1.08,7,0.459,0,0,0.263,0.71,High
4,2025-06-21,5,1,4.12,1.15,5.11,8,0,1.4,1.28,1.44,5,0.288,0,1,0.35,0.915,High
4,2025-06-22,6,1,4.38,1.02,6.52,12,1,2.74,1.42,0.22,7,0.173,0,0,0.051,0.839,High
4,2025-06-23,0,0,2.95,0.86,7.05,5,0,0.64,1.39,0.92,5,0.427,0,0,0.312,0.412,Low
4,2025-06-24,1,0,4.72,0.35,6.35,0,0,1.46,1.4,1.86,4,0.434,0,0,0.394,0.707,High
4,2025-06-25,2,0,5.89,0.92,7.76,1,0,1.49,2.2,2.21,6,0.602,0,0,0.375,0.618,Medium
4,2025-06-26,3,0,3.91,1.24,6.22,3,1,0.92,0.6,2.39,6,0.235,0,0,0.611,0.729,High
4,2025-06-27,4,0,3.85,0.28,6.7,5,0,0.17,0.55,3.13,4,0.345,0,0,0.814,0.611,Medium
4,2025-06-28,5,1,5.68,1.29,7.35,9,0,1.58,1.18,2.92,9,0.466,0,0,0.514,0.762,High
4,2025-06-29,6,1,4.47,1.06,7.47,10,0,0.72,0.8,2.95,7,0.271,0,0,0.661,0.608,Medium
4,2025-06-30,0,0,4.34,0.88,4.97,3,0,1.32,2.05,0.96,3,0.241,0,1,0.222,0.859,High
4,2025-07-01,1,0,3.78,0.84,6.06,7,0,1.37,1.4,1.01,3,0.271,0,0,0.268,0.784,High
4,2025-07-02,2,0,3.61,1.14,7.08,11,0,1.06,0.54,2.02,5,0.867,0,0,0.56,0.654,Medium
4,2025-07-03,3,0,2.52,0.88,7.46,0,0,0.68,0.32,1.52,2,0.391,0,0,0.604,0.401,Low
4,2025-07-04,4,0,4.9,1.02,7.11,3,0,1.43,2.03,1.44,1,0.223,0,0,0.294,0.623,Medium
4,2025-07-05,5,1,4.89,0.04,6.76,4,1,1.98,1.06,1.85,7,0.741,0,0,0.378,0.7,High
4,2025-07-06,6,1,4.87,1.23,6.9,5,1,2.45,1.38,1.04,9,0.798,0,0,0.213,0.842,High
4,2025-07-07,0,0,3.7,0.7,7.67,5,1,0.93,0.67,2.1,6,0.112,0,0,0.567,0.313,Low
4,2025-07-08,1,0,3.74,1.21,6.55,2,1,1.22,1.84,0.68,6,0.663,0,0,0.181,0.793,High
4,2025-07-09,2,0,5.77,0.89,6.61,6,1,2.08,0.9,2.8,11,0.654,0,0,0.485,0.867,High
4,2025-07-10,3,0,4.73,0.52,7.65,6,1,2.02,2.11,0.59,6,0.528,0,0,0.126,0.606,Medium
4,2025-07-11,4,0,3.52,1.61,5.85,2,1,1.89,1.41,0.22,3,0.511,1,1,0.062,0.924,High
4,2025-07-12,5,1,5.88,1.23,6.55,8,1,2.47,2.07,1.35,10,0.148,0,0,0.229,0.832,High
